time,AUV5_ESO_Estimation,AUV6_ESO_Reference,AUV6_ESO_Estimation,AUV7_ESO_Reference,AUV7_ESO_Estimation,AUV8_ESO_Reference,AUV8_ESO_Estimation,AUV9_ESO_Reference,AUV9_ESO_Estimation,
0,0,0,0,0,0,0,0,0,0,0
0.1,-0.064678308,-0.99,-0.06444215,-0.99,0.073642891,0.97,0.08432572,0.99,-0.06444215,-0.99
0.2,-0.129169367,-1.99,-0.128655523,-1.99,0.175136688,1.97,0.213217686,1.99,-0.128655523,-1.99
0.3,-0.184518255,-2.99,-0.183658739,-2.99,0.325136575,2.97,0.385798104,2.99,-0.183658739,-2.99
0.4,-0.224873432,-3.99,-0.223571704,-3.99,0.498316519,3.57,0.589146836,3.99,-0.223571704,-3.99
0.5,-0.242553108,-3.89,-0.309284824,-3.99,0.545715429,2.57,0.816515996,3.95,-0.237793193,-3.89
0.6,-0.293848885,-3.59,-0.443971193,-3.77,0.455168879,1.57,0.884990382,3.11,0.061176017,-2.89
0.7,-0.254932666,-2.59,-0.350737217,-2.77,0.406934808,0.57,0.709662254,2.11,0.372875461,-1.89
0.8,0.038311829,-1.59,-0.285822545,-1.77,0.406892954,-0.43,0.525587488,1.11,0.646288938,-0.89
0.9,0.277321526,-0.59,-0.198335502,-0.77,0.446174651,-1.43,0.372871058,0.11,0.89485515,0.11
1,0.498065192,0.41,-0.065671521,0.23,0.523164755,-2.43,0.226007859,-0.89,1.086678195,1.11
1.1,0.696295789,1.41,0.094292452,1.23,0.623046614,-3.43,0.077532439,-1.89,1.160398605,2.11
1.2,0.929420912,2.41,0.277275586,2.23,0.764651636,-4.43,-0.095233085,-2.89,1.224967744,3.11
1.3,1.182783535,3.41,0.487947336,3.23,0.885061898,-3.69,-0.329150404,-3.89,1.286688348,4.11
1.4,1.485478769,3.19,0.746994599,4.23,0.944056888,-2.69,-0.620926875,-4.89,1.336082434,3.93
1.5,1.868623955,2.37,1.059514515,3.95,0.91306082,-1.69,-0.972474735,-5.69,1.230742048,2.93
1.6,1.945101305,1.37,1.236111243,2.95,0.887550137,-0.69,-1.367121266,-4.69,0.863277125,1.93
1.7,1.891970504,0.37,1.381328889,1.95,0.936947327,0.31,-1.808587964,-4.85,0.37374285,0.93
1.8,1.644613249,-0.63,1.349912151,0.95,1.131099541,1.31,-2.299064986,-4.93,-0.107676661,-0.07
1.9,1.220223796,-1.63,1.028882622,-0.05,1.305014137,1.53,-2.83765609,-4.97,-0.578126114,-1.07
2,0.804230277,-2.63,0.669860853,-1.05,1.434091202,1.43,-3.421696249,-5.05,-1.036564262,-2.07
2.1,0.4112571,-3.63,0.355823523,-2.05,1.422772552,1.37,-3.946436146,-5.33,-1.475593844,-3.07
2.2,0.052778009,-4.63,0.122364055,-3.05,1.260790819,0.51,-4.154435132,-5.89,-1.458427665,-4.07
2.3,-0.262713928,-4.97,-0.066783773,-4.05,1.060070529,-0.49,-3.692702584,-4.89,-1.264193867,-3.37
2.4,-0.52937926,-4.27,-0.221142972,-5.05,0.873977129,-1.49,-3.103310284,-3.89,-1.073831834,-2.37
2.5,-0.737603888,-3.29,-0.338165733,-5.23,0.637716724,-1.53,-2.47392552,-2.89,-0.898712334,-1.37
