time,AUV5_Error,AUV6_Error,AUV7_Error,AUV8_Error,AUV9_Error
0,2.605566198,5.173897543,12.1130527,6.411286108,3.186869321
0.1,2.6548949,5.210532804,12.13111927,6.423232827,3.184924817
0.2,2.701829086,5.244451388,12.15911011,6.447318558,3.20077813
0.3,2.745382444,5.27555018,12.19748764,6.483538982,3.233265437
0.4,2.785864974,5.304668586,12.24602988,6.532055681,3.282073818
0.5,2.824773301,5.33347809,12.30548115,6.59369247,3.347663552
0.6,2.865608904,5.36313658,12.37430069,6.670305887,3.427891705
0.7,2.917344144,5.395453985,12.43827907,6.763747252,3.517314691
0.8,2.996004783,5.438433164,12.49524164,6.872975338,3.615578192
0.9,3.095008819,5.489855176,12.54450619,6.984048874,3.722788381
1,3.199295519,5.546690685,12.58582532,7.088571436,3.838961855
1.1,3.305532693,5.606640196,12.61921264,7.185434699,3.961408778
1.2,3.411335018,5.668553214,12.64455634,7.274019007,4.087554068
1.3,3.516576094,5.73272479,12.66167014,7.354399709,4.220739641
1.4,3.622239926,5.800284964,12.67028476,7.426997408,4.364744392
1.5,3.729713245,5.872840354,12.66987368,7.492322384,4.519623885
1.6,3.837585005,5.948415762,12.65941921,7.55077499,4.682960719
1.7,3.939518113,6.016890681,12.63731606,7.602244975,4.854534331
1.8,4.033743584,6.076349449,12.60222261,7.64636586,5.029747953
1.9,4.118718233,6.124445889,12.55344285,7.68256515,5.204058525
2,4.192196758,6.158512037,12.4906703,7.710075942,5.37353381
2.1,4.252190878,6.176959533,12.41505454,7.727905539,5.53477369
2.2,4.296935637,6.181301193,12.32749605,7.733922775,5.683803803
2.3,4.32481592,6.17406009,12.22834636,7.726399,5.815113145
2.4,4.334303837,6.153382216,12.11548752,7.70506988,5.926101458
2.5,4.323969937,6.11716279,11.98633147,7.669550096,6.014555929
2.6,4.295807177,6.063318223,11.83872799,7.621991315,6.078439671
2.7,4.256142239,5.989797603,11.67069186,7.564631411,6.115857816
2.8,4.209118102,5.894619473,11.48050978,7.499222659,6.125051551
2.9,4.156605229,5.776112469,11.26663176,7.423401125,6.104419904
3,4.09743828,5.632988714,11.02770351,7.333459692,6.052617682
3.1,4.030771067,5.464121697,10.76259642,7.225735989,5.96897708
3.2,3.956687253,5.268553517,10.47043546,7.097536427,5.853493284
3.3,3.873370638,5.047825175,10.14997396,6.947358436,5.707955503
3.4,3.778645282,4.815252371,9.81415312,6.774564365,5.534592523
3.5,3.671132372,4.582832279,9.474861681,6.578618678,5.335408421
3.6,3.551888471,4.359034693,9.13652068,6.358561128,5.115776323
3.7,3.422534153,4.149408644,8.803410127,6.113453836,4.884579135
3.8,3.286209028,3.958419633,8.479953111,5.842464249,4.649776566
3.9,3.147646903,3.785854631,8.172052463,5.544904498,4.418377877
4,3.012641681,3.616556206,7.885607264,5.220366786,4.196752977
4.1,2.886760308,3.462431162,7.624355979,4.866485296,3.98845207
4.2,2.774362136,3.325412567,7.390251984,4.49972802,3.802102873
4.3,2.683943691,3.214930582,7.183120268,4.139121359,3.650492491
4.4,2.622131602,3.130862337,7.000707405,3.791766833,3.536539667
4.5,2.588530355,3.070154636,6.841064892,3.462018836,3.460750753
4.6,2.569749389,3.028436706,6.702250665,3.152527652,3.421104005
4.7,2.566783748,3.003270189,6.582182028,2.865256012,3.414994846
4.8,2.578914322,2.992826351,6.478644433,2.603031646,3.439230732
4.9,2.589572861,2.989677013,6.389309862,2.370600808,3.490435839
5,2.589833291,2.98077226,6.31176204,2.175751967,3.5653551
5.1,2.576637384,2.959772724,6.24352575,2.029667155,3.661018598
5.2,2.550324278,2.924910122,6.182085519,1.944353863,3.77478865
5.3,2.513537724,2.877236326,6.124725237,1.923076533,3.904352156
5.4,2.469840866,2.818887349,6.068730782,1.962164588,4.047851438
5.5,2.422510626,2.752779713,6.012805155,2.047510979,4.204163395
5.6,2.373061752,2.68170552,5.955570574,2.16472038,4.371358038
5.7,2.320510718,2.608594243,5.894821892,2.300688183,4.547526515
5.8,2.264975153,2.536630927,5.828534807,2.444705386,4.719946845
5.9,2.207094555,2.466632641,5.754917463,2.589386284,4.87997174
6,2.146760188,2.398099998,5.672474833,2.727799095,5.02515729
6.1,2.083356086,2.330469355,5.580091529,2.85591971,5.153121237
6.2,2.016458227,2.263506446,5.477139836,2.971421035,5.26218113
6.3,1.946486473,2.19704711,5.363656291,3.07276476,5.351273034
6.4,1.875407457,2.131269917,5.242884695,3.158715253,5.419914693
