time,AUV5_GJQ_Error,AUV6_GJQ_Error,AUV7_GJQ_Error,AUV8_GJQ_Error,AUV9_GJQ_Error
0,4.401240591,15.77341289,20.5306499,28.47985277,30.27253008
0.1,4.120779771,14.92817603,20.01353761,27.71547528,29.51736358
0.2,4.008477332,14.13531432,19.50254111,26.96247498,28.79651535
0.3,4.051268135,13.38243494,19.00175109,26.23546679,28.10750175
0.4,4.196402905,12.65267283,18.50200099,25.52388756,27.43830335
0.5,4.42250194,11.9412143,18.00225102,24.82218443,26.78051874
0.6,4.717820403,11.25143225,17.50250106,24.13113143,26.13487209
0.7,5.070277589,10.58756415,17.00275112,23.45167005,25.50228531
0.8,4.978870561,9.952608574,16.5030012,22.7848373,24.88375441
0.9,4.668831827,9.332582281,16.00325129,22.13177471,24.28035361
1,4.365412897,8.725810403,15.5035014,21.49373745,23.6932389
1.1,4.070094526,8.13525924,15.00375153,20.87210347,23.12365079
1.2,3.784773402,7.564728625,14.50400169,20.26751723,22.57291607
1.3,3.511887033,7.019102222,14.00425188,19.67222666,22.04244791
1.4,3.254510089,6.504503163,13.50450209,19.08454216,21.53126564
1.5,3.0047617,6.004753896,13.00475234,18.5051884,20.97770095
1.6,2.755013684,5.505004802,12.50500263,17.93497272,20.43664295
1.7,2.505265505,5.005256308,12.00525282,17.37479475,19.90911118
1.8,2.255507025,4.505506674,11.50550157,16.82565712,19.39558973
1.9,2.005757374,4.005757187,11.00575153,16.28867652,18.88777777
2,1.756007945,3.506007909,10.50600151,15.76509527,18.38291729
2.1,1.666257999,3.33625806,10.00625151,15.25629298,17.88125828
2.2,1.586508146,3.166508298,9.506501534,14.75650199,17.381502
2.3,1.496758509,3.006758609,9.006751584,14.25675204,16.88175206
2.4,1.417009008,2.837009065,8.507001665,13.75700211,16.38200213
2.5,1.337259731,2.667259664,8.007251783,13.2572522,15.88225222
2.6,1.247510805,2.507510393,7.507501946,12.75750232,15.38250234
2.7,1.16776213,2.337761366,7.007752163,12.25775247,14.88275247
2.8,1.088013851,2.168012596,6.508002447,11.75800265,14.38300263
2.9,0.998266224,2.008264079,6.008252815,11.25825286,13.88325282
3,0.918519099,1.83851603,5.508503289,10.75850217,13.38350147
3.1,0.838771186,1.668767711,5.008753635,10.25875211,12.88375141
3.2,0.749022795,1.509019036,4.509003852,9.759001949,12.38400127
3.3,0.669274806,1.339271002,4.009254179,9.259251793,11.88425114
