time,AUV1_x,AUV1_y,AUV1_z,AUV2_x,AUV2_y,AUV2_z,AUV3_x,AUV3_y,AUV3_z,AUV4_x,AUV4_y,AUV4_z,AUV5_x,AUV5_y,AUV5_z,AUV6_x,AUV6_y,AUV6_z,AUV7_x,AUV7_y,AUV7_z,AUV8_x,AUV8_y,AUV8_z,AUV9_x,AUV9_y,AUV9_z
0,0,0,11,0,24.24871131,-31,21,-12.12435565,-31,-21,-12.12435565,-31,-5,-2,0.5,-10,-3.5,-9.5,1,0.5,-8.5,11,-5.5,-19.5,-5,-8.5,-25.5
0.1,0.06,0.157079624,10.975,0.06,24.40579093,-31.025,21.06,-11.96727603,-31.025,-20.94,-11.96727603,-31.025,-4.987636735,-1.995034905,0.504513046,-9.987637112,-3.495034906,-9.495034896,0.987878907,0.495309204,-8.495064904,10.98761294,-5.495065124,-19.49506511,-4.987637112,-8.495034906,-25.4950349
0.2,0.12,0.314159199,10.95,0.12,24.56287051,-31.05,21.12,-11.81019645,-31.05,-20.88,-11.81019645,-31.05,-4.950445239,-1.979855109,0.519227302,-9.9504483,-3.479855127,-9.479854474,0.950756513,0.481222348,-8.480344469,10.95005494,-5.480346819,-19.48034617,-4.9504483,-8.479855127,-25.47985447
0.3,0.18,0.471238676,10.925,0.18,24.71994998,-31.075,21.18,-11.65311698,-31.075,-20.82,-11.65311698,-31.075,-4.888884461,-1.9539096,0.544713486,-9.888894844,-3.453909739,-9.453902176,0.888406823,0.469968253,-8.456398703,10.88689276,-5.456412628,-19.45640444,-4.888894844,-8.453909739,-25.45390218
0.4,0.24,0.628318003,10.9,0.24,24.87702931,-31.1,21.24,-11.49603765,-31.1,-20.76,-11.49603765,-31.1,-4.803753105,-1.916297381,0.581894885,-9.803777771,-3.416297971,-9.416254827,0.800336911,0.466972344,-8.424066476,10.79747192,-5.424226932,-19.42407861,-4.803777771,-8.416297971,-25.41625483
0.5,0.3,0.785397133,10.875,0.3,25.03410844,-31.125,21.3,-11.33895852,-31.125,-20.7,-11.33895852,-31.125,-4.696234642,-1.86579847,0.632051162,-9.695821677,-3.374181315,-9.365632983,0.694922005,0.471383675,-8.383565095,10.6811335,-5.385163613,-19.38398226,-4.696297978,-8.365801207,-25.36563392
0.6,0.36,0.942476016,10.85,0.36,25.19118732,-31.15,21.36,-11.18187964,-31.15,-20.64,-11.18187964,-31.15,-4.567607298,-1.805147426,0.696802763,-9.565345799,-3.337506657,-9.302587091,0.602622714,0.484246714,-8.337391586,10.54192066,-5.344566629,-19.3359314,-4.587959043,-8.302541469,-25.30203638
0.7,0.42,1.099554603,10.825,0.42,25.34826591,-31.175,21.42,-11.02480105,-31.175,-20.58,-11.02480105,-31.175,-4.422887017,-1.747090097,0.777553856,-9.436394982,-3.307139983,-9.242803801,0.533861584,0.506935602,-8.299014278,10.4174317,-5.315006925,-19.2775171,-4.509295732,-8.232430445,-25.22772684
0.8,0.48,1.256632843,10.8,0.48,25.50534415,-31.2,21.48,-10.86772281,-31.2,-20.52,-10.86772281,-31.2,-4.294339554,-1.696139728,0.871700967,-9.332338592,-3.28573118,-9.19186302,0.48801955,0.540663509,-8.269465697,10.31767518,-5.296273777,-19.20796558,-4.460491219,-8.171764726,-25.14408172
0.9,0.54,1.413710688,10.775,0.54,25.66242199,-31.225,21.54,-10.71064497,-31.225,-20.46,-10.71064497,-31.225,-4.195960677,-1.645292413,0.967529462,-9.252700292,-3.270158819,-9.151200851,0.464012839,0.586932342,-8.248452962,10.24403897,-5.28680485,-19.13985818,-4.441623447,-8.124390567,-25.05290125
1,0.6,1.570788087,10.75,0.6,25.81949939,-31.25,21.6,-10.55356757,-31.25,-20.4,-10.55356757,-31.25,-4.128125438,-1.586277472,1.052708433,-9.199039171,-3.247746811,-9.122789162,0.460545715,0.647532919,-8.235400693,10.19716018,-5.284686194,-19.0804539,-4.451999802,-8.092734215,-24.95679366
1.1,0.66,1.727864993,10.725,0.66,25.9765763,-31.275,21.66,-10.39649066,-31.275,-20.34,-10.39649066,-31.275,-4.090672052,-1.521254273,1.125176585,-9.171205961,-3.219257256,-9.108393929,0.476043003,0.724515891,-8.229593893,10.1772524,-5.287653713,-19.02989514,-4.488950783,-8.07919887,-24.86196441
1.2,0.72,1.884941355,10.7,0.72,26.13365266,-31.3,21.72,-10.2394143,-31.3,-20.28,-10.2394143,-31.3,-4.08281307,-1.452621249,1.182647213,-9.16893957,-3.186983008,-9.109400398,0.508496274,0.820123018,-8.230547993,10.1845345,-5.293005573,-18.98794585,-4.548642664,-8.086075505,-24.77496865
