time,AUV5_Tau_u,AUV5_Tau_v,AUV5_Tau_w,AUV5_Tau_q,AUV5_Tau_r,AUV6_Tau_u,AUV6_Tau_v,AUV6_Tau_w,AUV6_Tau_q,AUV6_Tau_r,AUV7_Tau_u,AUV7_Tau_v,AUV7_Tau_w,AUV7_Tau_q,AUV7_Tau_r,AUV8_Tau_u,AUV8_Tau_v,AUV8_Tau_w,AUV8_Tau_q,AUV8_Tau_r,AUV9_Tau_u,AUV9_Tau_v,AUV9_Tau_w,AUV9_Tau_q,AUV9_Tau_r
0,300,300,-14.743898,-9.171292,9.076323,300,300,300,-9.171292,9.076323,-79.3584,-78.53175,300,-9.171292,9.076323,-300,300,300,-9.171292,9.076323,300,300,300,-9.171292,9.076323
0.1,300,300,300,-56.70988172,286.0563488,300,300,300,-56.70988172,286.0563488,-300,-281.038041,300,-56.70988172,286.0563488,-300,300,300,-56.70988172,286.0563488,300,300,300,-56.70988172,286.0563488
0.2,300,300,300,-33.74175645,300,300,300,300,-33.74175645,300,-300,13.3153687,300,-33.74175645,300,-300,300,300,-33.74175645,300,300,300,300,-33.74175645,300
0.3,300,300,300,-34.09637815,211.8657704,300,300,300,-34.09637815,211.8657704,-295.6352473,300,300,-34.10888729,211.8662109,-300,300,300,-34.10933364,211.866228,300,300,300,-34.09637815,211.8657704
0.4,300,300,300,-28.70746461,94.34627511,300,132.51325,300,-28.70746461,94.34627511,-107.2903424,300,300,-42.40184679,94.35746429,-300,300,300,-42.40812684,94.35760506,300,300,300,-28.70746461,94.34627511
0.5,300,200.9265923,300,-11.54546992,68.51599669,300,-300,300,-11.54546992,68.51599669,89.86044675,300,300,-49.32317795,68.57121937,-300,300,300,-50.15456451,68.57160586,61.35062856,300,300,-11.54546992,68.51599669
0.6,185.4128718,-161.4135439,300,5.343015691,71.68233944,0.603627292,-300,-300,5.343015691,71.68233944,226.6171705,300,-300,-43.28172049,71.87257211,214.9744038,-300,300,-53.35737573,71.87450914,-300,300,300,5.343015691,71.68233944
0.7,-83.35476826,-300,300,22.41899591,82.30074048,-300,-300,-300,22.41899591,82.30074048,300,300,-300,-30.97610186,82.79808566,300,-300,300,-68.75354857,82.82181493,-300,-232.7419246,300,22.41899591,82.30074048
0.8,-300,109.6821188,233.8017782,39.74561361,93.60834714,-300,-300,-300,39.73278121,93.60960895,300,300,-300,-17.9740907,94.66879375,300,-300,13.10971114,-81.96575699,94.76988012,-300,-300,300,39.74561361,93.60834714
0.9,-300,300,-300,57.28695229,103.8165302,-300,300,-300,56.55107916,103.9265806,300,300,-300,-3.749344348,105.7975423,300,-300,-300,-70.80445629,106.0390082,-300,-300,300,57.0828255,103.8506171
1,-300,300,-300,74.95905129,112.6224726,-300,300,-300,71.58926773,113.1897427,300,300,-300,11.20603776,116.020233,300,-300,-300,-57.99213176,116.4499625,-300,-300,300,73.09748756,112.9568983
1.1,-300,300,-300,80.14253241,100.5557062,-300,300,-300,73.24138448,101.9878455,300,300,-300,14.1341965,106.4146234,300,-300,-300,-55.13901551,107.2153799,-300,-300,300,75.57582959,101.597724
1.2,-300,300,-300,93.44530796,82.37543282,-300,300,-300,83.68968939,84.33998287,300,300,-300,25.81225621,88.99083512,300,-300,-300,-41.0483358,89.77103122,-300,-300,300,86.59434686,83.82346205
1.3,-300,300,-300,106.1302608,64.59328802,-300,300,-300,94.42549201,66.98303254,300,300,-300,24.33496988,71.68266285,300,-300,-300,-25.11504092,72.35045756,-300,-300,300,97.70117278,66.37253143
1.4,-300,300,-300,118.0240235,47.95431401,-300,300,-300,105.0453707,50.61931779,233.3930411,300,-300,8.272858418,55.21754768,300,-300,-300,-8.339239016,55.68786678,-300,-250.4364074,300,108.5650035,49.95524388
1.5,-95.04234683,300,-300,129.3051783,32.46244609,-206.7653842,300,-300,115.4759167,35.22657,144.3695944,300,-300,-8.251143416,40.04759073,300,-300,-300,8.593681878,39.82578602,-164.4450964,-300,-300,119.1656325,34.55330713
1.6,134.7197071,300,-300,140.1684715,17.84837372,131.1417851,300,-300,125.7322997,20.51851093,68.1915226,300,-300,-25.11159196,26.44703911,300,-300,-300,24.3109225,24.57737955,184.9780337,-300,-300,129.5514192,19.89760739
1.7,235.7752023,300,-300,150.7525275,18.15292566,300,195.9647438,-300,135.8428341,21.41347918,-27.09215041,300,-300,-42.20858271,30.00245191,300,-300,-300,38.16625877,25.49364178,260.8155975,-300,-300,139.7697363,21.05164331
1.8,274.2639206,116.0044102,-300,161.1424559,3.426227963,300,134.8378613,-300,127.4426399,5.941025086,-97.10954003,300,-300,-59.47778826,16.93335384,300,-300,-300,50.51751216,9.384175076,300,-300,-300,149.8533178,7.008453701
1.9,277.8238933,-27.70020301,-300,171.3866868,-9.153135321,300,30.76259926,-300,110.2804312,-7.962086222,-62.94990422,300,-300,-76.88162695,5.378861359,300,-300,-300,61.86713329,-5.541748667,300,-300,-300,145.2203829,-5.008258619
2,231.4059311,-206.1182321,-300,181.5115297,-20.31600781,300,-170.7949043,-300,93.01735232,-20.53051522,-17.15457411,249.0597911,-300,-94.39933842,-5.523043161,300,-300,-300,72.59342351,-20.03185493,300,-285.5331389,-300,128.0453184,-15.99312085
2.1,300,-300,-300,191.5308364,-30.64378865,300,-300,-300,75.65800673,-32.18090225,43.06099105,211.1936643,-300,-112.019865,-16.10202693,300,-300,-300,63.19526194,-34.38468846,300,-300,-300,110.7725697,-26.48353931
2.2,300,-300,-300,195.2325376,-40.53574279,300,-300,-300,58.20484404,-43.30058305,152.2090747,174.6236373,-300,-129.7374662,-26.45290192,250.8165003,-102.8095229,-300,46.24842522,-48.7266443,300,300,-300,93.40530772,-36.77217909
2.3,300,-300,-300,178.0186417,-50.25484395,300,-300,-300,40.65913514,-54.14886413,266.7304441,155.2151405,-300,-147.549218,-36.55575295,44.37448374,300,-300,29.12901235,-63.11582259,300,300,-300,75.94516022,-47.01760031
2.4,216.5918385,-300,-300,160.711751,-59.97437515,300,-300,-300,23.02152705,-64.8665736,300,122.7536256,-300,-165.4536527,-46.32279493,8.825514835,300,-300,11.87691603,-77.56405684,300,300,-300,58.39294927,-57.29910731
2.5,92.6385136,-300,-300,143.3127556,-69.80869323,300,-300,-300,5.292344403,-75.50274554,300,106.3943414,-300,-183.4500421,-39.7495569,-27.71459567,300,-300,-5.487234056,-91.62398405,300,300,-300,40.7490847,-67.64205361
2.6,-8.838406119,-300,-300,125.8220918,-79.82975313,300,-300,-300,-12.52825179,-86.03507358,300,107.5512061,-300,-201.2313958,-23.10101144,10.67099265,300,-300,-22.95296101,-104.7302096,300,300,-300,23.01376869,-78.02787599
2.7,-33.92745612,-300,-300,108.2399715,-90.07402399,300,-300,-300,-30.44018243,-96.38150268,300,119.8657018,-300,-218.1309135,-6.826553858,47.18530635,300,-300,-40.51501825,-116.9415409,300,300,-300,5.187100172,-88.39643166
2.8,-48.16469538,-300,-300,90.56649702,-100.5436044,300,-300,-300,-48.44264213,-106.4053701,300,137.3140979,-300,-234.1590546,8.928005678,90.4631562,300,-300,-58.17080773,-128.45444,300,300,-300,-12.73087282,-85.81619088
2.9,-49.55691553,-203.7372027,-300,72.80171773,-111.2040502,300,-300,-300,-66.17814131,-115.9474884,300,157.4818238,-300,-249.5830555,24.02196764,131.8273797,300,-300,-75.91905467,-139.3852886,300,300,-300,-30.7356586,-69.01992426
3,-28.223185,-59.35690925,-300,54.94565713,-101.3008139,300,-300,-300,-83.01212315,-119.6034773,300,179.9760033,-300,-264.6406846,38.31862524,108.3542729,300,-300,-93.75913831,-149.7367807,300,300,-300,-48.42478888,-51.94517885
3.1,-14.72011429,25.76034426,-300,53.46886517,-85.4242738,300,-300,-300,-82.51973532,-101.7697777,300,195.3137462,-300,-263.020781,51.68505777,204.220401,289.1710928,-300,-95.22021962,-159.4106531,300,300,-300,-48.72524838,-34.74565405
3.2,5.520581293,76.95087778,-300,33.72911812,-69.02624512,242.2671867,-207.683875,-300,-99.66164429,-83.90177624,300,208.6724328,-300,-279.5090327,63.99221991,282.6474918,135.8571636,-300,-114.9743789,-168.2294713,300,300,-300,-66.40582317,-17.57822353
3.3,28.92842191,167.9933156,-300,15.74278586,-52.17054285,150.1156737,-108.6494365,-300,-115.2660251,-78.68599817,300,205.8602257,-300,-293.1600954,76.34947939,300,-24.63799362,-300,-133.1091273,-176.0965032,300,300,-300,-82.33367894,-0.595449564
3.4,45.81391437,287.0806016,-300,-0.886788878,-35.00496581,121.0364603,-50.23442947,-300,-130.2618096,-71.51107706,300,239.3999151,-300,-296.3020645,91.01017011,300,-16.98618158,-300,-149.8926703,-182.9364093,269.4149563,300,-300,-97.5111659,16.05310907
3.5,43.81644977,300,-300,-16.6315202,-17.68437994,68.73784258,-5.731500891,-300,-145.0208616,-58.90214374,300,300,-300,-298.9803608,105.6998361,300,-57.93598536,-300,-165.7455494,-188.6355662,177.5128373,300,-300,-112.3680922,32.22032949
3.6,33.56886754,300,-300,-31.85580183,-0.361097189,51.77230276,21.77543071,-235.5273931,-159.6899409,-46.90310416,300,300,-300,-300,120.3857705,300,-75.21691861,-300,-181.0358205,-193.0799736,139.9767079,300,-300,-127.0883946,47.76147169
3.7,52.41306102,198.735221,-300,-46.79138049,6.043095255,50.66724787,124.2617472,-222.3899248,-174.3259139,-47.25474671,300,300,-300,-300,126.6637276,300,-58.43289601,-300,-196.008816,-201.154274,121.3384563,300,-300,-141.7506182,52.8155294
3.8,54.95776995,202.1090726,-300,-61.57275034,21.22659728,68.75102961,105.8945658,-45.88600576,-188.9502802,-43.28914246,281.9763037,300,-300,-300,139.9399384,300,-30.58729829,-300,-210.8104652,-181.3592075,109.8361446,300,-300,-156.3882234,65.37834797
3.9,32.58497158,201.9153493,-224.9838633,-76.27389863,37.1665959,56.39994187,68.648747,271.4928912,-203.4182979,-40.24922137,232.8525416,300,-300,-300,153.7944897,286.1306223,-5.477983962,-300,-225.5222732,-160.5532751,106.017761,300,-300,-171.0154269,78.11254387
4,24.38344075,195.8479268,-98.10500773,-90.93412125,52.58630785,53.91268765,57.45359871,194.5768885,-208.3083311,-39.50130762,189.2123267,300,-300,-300,167.0530615,261.9565323,20.03539168,-300,-240.1879765,-139.6718211,106.9477826,300,-300,-185.6382513,90.10487093
4.1,53.57402501,190.4664003,-32.45450843,-105.5737764,66.76647313,79.42355002,42.61167451,291.5393424,-210.3800768,-40.22167275,155.1938709,300,-300,-300,179.6041907,225.2831596,72.95832515,-300,-252.0027503,-122.0413132,94.13421981,300,-300,-197.1738976,103.144554
4.2,-13.2501418,213.9027146,300,-120.2032176,79.29052996,-187.4339954,54.53591893,300,-215.3402722,-40.08510309,-300,300,-300,-300,191.6411672,159.0555474,141.807423,-300,-254.3719342,-107.7761746,61.94922726,300,-300,-199.4495938,117.5757486
4.3,-62.33582106,207.6428891,300,-134.8276353,89.86675408,-300,89.61854368,300,-223.4834107,-33.74818635,-300,300,-300,-300,203.2776535,125.1066161,115.2194367,-300,-257.4064191,-93.42026109,52.95537435,300,-300,-202.5572436,130.9027343
4.4,-134.6474769,274.4942014,300,-149.3984278,98.20863368,-300,22.90611286,300,-233.8910489,-25.73079075,-300,300,-300,-300,214.0240566,95.69257842,101.5184904,-300,-263.772057,-79.00930304,43.6014713,300,-300,-209.0071741,143.3920848
4.5,-176.884339,300,300,-163.3063418,104.5990809,-300,-23.0373097,300,-245.6886575,-23.45759693,-300,300,-300,-300,223.6546358,84.32433237,46.61834961,-300,-272.9881859,-64.53971657,34.00144757,300,-300,-218.2841331,155.0128706
